KODE_BARANG,nama_barang,STOK,SATUAN,LOKASI,LAST_UPDATE
ASPEX0204633,KUNCI SHOCK SET MAX POWER ,5,SET,rak 217,13/01/2026
ASPEX0204637,"KUNCI SLOT 4"" ",4,PCS,rak 218,13/01/2026
ASPEX0204646,KUNCI SOK 19 ,2,PCS,rak 219,13/01/2026
ASPEX0204671,KUNCIAN BAREL D.92/188 ,1,SET,rak 220,13/01/2026
ASPEX0204681,KWAS ETERNA 633-2` ,19,Pcs,rak 221,13/01/2026
ASPEX0204694,LABEL CASIO XR-12YW 12MM YELOW ,20,PCS,rak 222,13/01/2026
ASPEX0204698,"LABEL CASIO XR-9HSWE 9X2,5 MM ",23,PCS,rak 223,13/01/2026
ASPEX0204715,LAMPU INDICATOR WHITE AD16-22D ,3,PCS,rak 224,13/01/2026
ASPEX0204727,LAMPU LED CIRCULAR HIGH 100W ,32,SET,rak 225,13/01/2026
ASPEX0204732,LAMPU LED MS86T-BFF-R ,11,PCS,rak 226,13/01/2026
ASPEX0204793,LEM AIBON 0.5 Kg ,6,Klg,rak 227,13/01/2026
ASPEX0204802,LEM BESI DEXTONE 5 MENIT ,18,PCS,rak 228,13/01/2026
ASPEX0204819,LEM PVC 400Gr ,4,Klg,rak 229,13/01/2026
ASPEX0204820,LEM SILICON HITAM ,192,PCS,rak 230,13/01/2026
ASPEX0204830,LIMIT SWITCH HY-M903 ,6,PCS,rak 231,13/01/2026
ASPEX0204832,LIMIT SWITCH LXK3-20S/T ,2,PCS,rak 232,13/01/2026
ASPEX0204835,LIMIT SWITCH T28108 ,14,PCS,rak 233,13/01/2026
ASPEX0204846,LINGGIS PANJANG ,1,PCS,rak 234,13/01/2026
ASPEX0204857,LOCK NUTS FAG KM 10 ,6,PCS,rak 235,13/01/2026
ASPEX0204864,LOCK WASHERS MB10 ,4,PCS,rak 236,13/01/2026
ASPEX0204930,MAGNET HOPPER ,5,PCS,rak 237,13/01/2026
ASPEX0204940,MAGNETIK SENSOR CS1-F 5-240V ,10,PCS,rak 238,13/01/2026
ASPEX0204947,MAKE UP S100A 800ml (HITACHI) ,69,BTL,rak 239,13/01/2026
ASPEX0205116,MATA GERGAJI BESI ,5,Pcs,rak 240,13/01/2026
ASPEX0205121,MATA GERGAJI BOSCH S2345X ,14,PACK,rak 241,13/01/2026
ASPEX0205203,MCB 1 PHASE 10.A ,6,Pcs,rak 242,13/01/2026
ASPEX0205208,MCB 1 PHASE 16.A ,12,Pcs,rak 243,13/01/2026
ASPEX0205222,MCB 1 PHASE 25.A ,6,Pcs,rak 244,13/01/2026
ASPEX0205230,MCB 1 PHASE 4 A ,4,PcS,rak 245,13/01/2026
ASPEX0205237,MCB 1 PHASE 6 A ,9,Pcs,rak 246,13/01/2026
ASPEX0205250,MCB 3 PHASE 10A ,6,Pcs,rak 247,13/01/2026
ASPEX0205253,MCB 3 PHASE 16 A ,10,Pcs,rak 248,13/01/2026
ASPEX0205263,MCB 3 PHASE 25 A ,13,Pcs,rak 249,13/01/2026
ASPEX0205271,MCB 3 PHASE 32 A ,9,Pcs,rak 250,13/01/2026
ASPEX0205278,MCB 3 PHASE 40.A ,19,Pcs,rak 251,13/01/2026
ASPEX0205284,MCB 3 PHASE 50A ,8,PCS,rak 252,13/01/2026
ASPEX0205288,MCB 3 PHASE 6.A ,10,Pcs,rak 253,13/01/2026
ASPEX0205302,MECANICAL SEAL M62 Dia.25MM ,4,SET,rak 254,13/01/2026
ASPEX0205337,MECHANICAL SEAL MG2 D.28MM ,5,SET,rak 255,13/01/2026
ASPEX0205348,MELT SENSOR ZHYQ M14 0-50Mpa ,6,PCS,rak 256,13/01/2026
ASPEX0205355,MESIN GERINDA BOSCH GSW 7-100 ,3,UNIT,rak 257,13/01/2026
ASPEX0205372,METERAN DIGITAL/METERAN LASER ,1,PCS,rak 258,13/01/2026
ASPEX0205402,METTLER TOLEDO P/N 71207455 ,2,UNIT,rak 259,13/01/2026
ASPEX0205404,MGV-K PARTS 451866 INKJET ,2,PCS,rak 260,13/01/2026
ASPEX0205418,MINI GRINDER KRISBOW ,1,SET,rak 261,13/01/2026
ASPEX0205435,MOLYCOTE ,7,PCS,rak 262,13/01/2026
ASPEX0205448,"MOTOR 2,2 KW ",10,UNIT,rak 263,13/01/2026
ASPEX0205473,MOTOR FEEDER AND SCREW ,6,SET,rak 264,13/01/2026
ASPEX0205502,MOTOR Y3-250M-4 55KW 75HP ,1,UNIT,rak 265,13/01/2026
ASPEX0205510,MOUNTING CA CYLINDER SC63 ,2,SET,rak 266,13/01/2026
ASPEX0205529,MUR BAJA M 16 + RING PLAT ,44,PCS,rak 267,13/01/2026
ASPEX0205533,MUR Dia 120X95mm (DRATM54X8mm) ,4,PCS,rak 268,13/01/2026
ASPEX0205540,MUR M 10 + RING PLAT ,124,PCS,rak 269,13/01/2026
ASPEX0205542,MUR M 10+ RING PLAT + RING PER ,11,PCS,rak 270,13/01/2026
ASPEX0205547,MUR M 12 + RING PLAT + RINGPER ,21,PCS,rak 271,13/01/2026
ASPEX0205550,MUR M 14 + RING PLAT ,10,PCS,rak 272,13/01/2026
ASPEX0205552,MUR M 14+ RING PLAT + RING PER ,39,PCS,rak 273,13/01/2026
ASPEX0205582,MUR M 4 ,36,PCS,rak 274,13/01/2026
ASPEX0205584,MUR M 41 ,10,PCS,rak 275,13/01/2026
ASPEX0205588,MUR M 5 + RING PLAT ,36,PCS,rak 276,13/01/2026
ASPEX0205591,MUR M 6 + RING PLAT ,62,PCS,rak 277,13/01/2026
ASPEX0205592,MUR M 6 + RING PLAT + RING PER ,12,PCS,rak 278,13/01/2026
ASPEX0205595,MUR M 8 ,100,PCS,rak 279,13/01/2026
ASPEX0205598,MUR M 8 + RING PLAT + RING PER ,1,PCS,rak 280,13/01/2026
ASPEX0205616,NEPLE GREASE 6MM ,16,PCS,rak 281,13/01/2026
ASPEX0205618,NEPLE GREASE L 6MM ,15,PCS,rak 282,13/01/2026
ASPEX0205626,NEPLE GREASE M15 ,30,PCS,rak 283,13/01/2026
ASPEX0205634,NEPLE HOLDER THERMOCOUPLE 50MM ,4,PCS,rak 284,13/01/2026
ASPEX0205641,NEPLE SELANG 2` ,15,Pcs,rak 285,13/01/2026
ASPEX0205653,NEPLE SELANG GALVANIS 1/2 ` ,40,PCS,rak 286,13/01/2026
ASPEX0205664,NEPLE SELANG GALVANIS 2` ,10,PCS,rak 287,13/01/2026
ASPEX0205690,NFB / BREKER 3 PHASE 100 A ,3,Pcs,rak 288,13/01/2026
ASPEX0205696,NFB / BREKER 3 PHASE 160 A ,3,PCS,rak 289,13/01/2026
ASPEX0205713,NFB/BREKER 3 PHASE 250 A ,5,Pcs,rak 290,13/01/2026
ASPEX0205716,NFB/BREKER 3 PHASE 400 A ,2,Pcs,rak 291,13/01/2026
ASPEX0205769,NYLON TUBING PU 16 MM ,2,ROLL,rak 292,13/01/2026
ASPEX0205775,NYLON TUBING PU 8 MM BLUE ,525,Mtr,rak 293,13/01/2026
ASPEX0205776,NYLON TUBING PU 8 MM ORANGE ,520,Mtr,rak 294,13/01/2026
ASPEX0205784,OBENG KETOK ,1,SET,rak 295,13/01/2026
ASPEX0205788,OBENG LISTRIK MINUS ( ELORA ) ,35,Pcs,rak 296,13/01/2026
ASPEX0205796,OBENG LISTRIK PLUS ( ELORA ) ,5,Pcs,rak 297,13/01/2026
ASPEX0205861,OIL SEAL 90 X 60 X 12 ,10,PCS,rak 298,13/01/2026
ASPEX0205872,OIL SEAL NBR 95 X 120 X 12 UKS ,4,PCS,rak 299,13/01/2026
